LEFT_EYE_OUTER: (x: 0.8540297746658325, y: 0.5280417203903198, z: 0.14401978254318237)
RIGHT_EYE_INNER: (x: 0.8590236902236938, y: 0.5273232460021973, z: 0.14827986061573029)
RIGHT_EYE: (x: 0.8604427576065063, y: 0.5270245671272278, z: 0.1482766717672348)
RIGHT_EYE_OUTER: (x: 0.8618981838226318, y: 0.5268687605857849, z: 0.14824725687503815)
LEFT_EAR: (x: 0.8541946411132812, y: 0.5315386056900024, z: 0.08740242570638657)
RIGHT_EAR: (x: 0.8656519055366516, y: 0.5298567414283752, z: 0.1054575964808464)
MOUTH_LEFT: (x: 0.8555749654769897, y: 0.5394113659858704, z: 0.14148563146591187)
MOUTH_RIGHT: (x: 0.8595693707466125, y: 0.5391213893890381, z: 0.146458700299263)
LEFT_SHOULDER: (x: 0.8455987572669983, y: 0.5668747425079346, z: 0.038918133825063705)
RIGHT_SHOULDER: (x: 0.8843476176261902, y: 0.5698702335357666, z: 0.09309951961040497)
LEFT_ELBOW: (x: 0.8437402248382568, y: 0.6288602948188782, z: 0.06584043800830841)
RIGHT_ELBOW: (x: 0.8889051079750061, y: 0.6311519742012024, z: 0.11012351512908936)
LEFT_WRIST: (x: 0.8386326432228088, y: 0.6270469427108765, z: 0.14334191381931305)
RIGHT_WRIST: (x: 0.8749256134033203, y: 0.6618040204048157, z: 0.13481324911117554)
LEFT_PINKY: (x: 0.8324610590934753, y: 0.6224029660224915, z: 0.15008299052715302)
RIGHT_PINKY: (x: 0.8718492388725281, y: 0.6698355674743652, z: 0.14115487039089203)
LEFT_INDEX: (x: 0.8340810537338257, y: 0.6178948879241943, z: 0.15511345863342285)
RIGHT_INDEX: (x: 0.8683800101280212, y: 0.6661785244941711, z: 0.13973549008369446)
LEFT_THUMB: (x: 0.836947500705719, y: 0.6189289689064026, z: 0.14746056497097015)
RIGHT_THUMB: (x: 0.8682873249053955, y: 0.6621351838111877, z: 0.1346106231212616)
LEFT_HIP: (x: 0.8539113998413086, y: 0.6774027347564697, z: -0.03034803457558155)
RIGHT_HIP: (x: 0.8746088743209839, y: 0.6790526509284973, z: 0.030431916937232018)
LEFT_KNEE: (x: 0.8554836511611938, y: 0.7582022547721863, z: -0.03283433988690376)
RIGHT_KNEE: (x: 0.8721886873245239, y: 0.7577990889549255, z: 0.044675521552562714)
LEFT_ANKLE: (x: 0.8653861284255981, y: 0.8474153876304626, z: -0.05057351663708687)
RIGHT_ANKLE: (x: 0.8682942986488342, y: 0.8420825004577637, z: 0.03164730593562126)
LEFT_HEEL: (x: 0.8700291514396667, y: 0.8657841086387634, z: -0.05295784771442413)
RIGHT_HEEL: (x: 0.8707957863807678, y: 0.8581037521362305, z: 0.029536394402384758)
LEFT_FOOT_INDEX: (x: 0.8485811352729797, y: 0.8552598357200623, z: -0.0645672157406807)
RIGHT_FOOT_INDEX: (x: 0.8567799925804138, y: 0.8496664762496948, z: 0.019080128520727158)


Landmark coordinates for frame 0:
